Filename,Query ID,Song ID,Title,Original artist,Class label
q1.wav,q1,1118, Mother natures son, The Beatles, mothernat
q2.wav,q2,1438, Scarborough fair, Unknown, scarborou
q3.wav,q3,1546, Stairway to heaven, Led Zeppelin, stairway2h
q4.wav,q4,1579, Strawberry fields forever, The Beatles, strawberry
q5.wav,q5,1808, When I am sixty four, The Beatles, whenim64
q6.wav,q6,2133, More than words, Extreme, morethwor
q7.wav,q7,2179, The boxer, Simon and Garfunkel, theboxer
q8.wav,q8,593, Girl, The Beatles, girl
q9.wav,q9,1224, Ob la di ob la da, The Beatles, obladi
q10.wav,q10,1576, Strangers in the night, Bert Kaempfert, strangers
q11.wav,q11,1747, Vivir asi es morir de amor, Camilo Sesto, vivirasies
q12.wav,q12,19, Across the universe, The Beatles, across
q13.wav,q13,2133, More than words, Extreme, morethwor
q14.wav,q14,663, Hello goodbye, The Beatles, hellogoodb
q15.wav,q15,780, I me mine, The Beatles, imemine
q16.wav,q16,937, Lestaca, Lluis Llach, lestaca
q17.wav,q17,96, Cuando los angeles lloran, Mana, angelesll
q18.wav,q18,995, Love me tender, Poulton and Fosdik, lovemetend
q19.wav,q19,2086, Cecilia, Simon and Garfunkel, cecilia
q20.wav,q20,60, Agua de beber, Vinicius de Moraes, aguabeber
q21.wav,q21,1224, Ob la di ob la da, The Beatles, obladi
q22.wav,q22,19, Across the universe, The Beatles, across
q23.wav,q23,2269, Octopuss garden, The Beatles, octopusga
q24.wav,q24,281, Chica de ayer, Nacha pop, chicaayer
q25.wav,q25,542, Friday Im in love, The Cure, fridayim
q26.wav,q26,708, Hey Jude, The Beatles, heyjude
q27.wav,q27,789, In my life, The Beatles, inmylife
q28.wav,q28,941, Let it be, The Beatles, letitbe
q29.wav,q29,1194, Nothing else matters, Metallica, nothing
q30.wav,q30,1441, Seek and destroy, Metallica, seekdestr
q31.wav,q31,1564, Stand by me, Ben E King, standbyme
q32.wav,q32,1616, Smells like teen spirit, Nirvana, teenspirit
q33.wav,q33,2031, My Sharona, The Knack, mysharona
q34.wav,q34,204, Bohemian Rapsody, Queen, bohemianr
q35.wav,q35,2063, We will rock you, Queen, wewillrock
q36.wav,q36,1066, Mediterraneo, Joan Manuel Serrat, mediterran
q37.wav,q37,1209, No woman no cry, Bob Marley, nowomanno
q38.wav,q38,1224, Ob la di ob la da, The Beatles, obladi
q39.wav,q39,1564, Stand by me, Ben E King, standbyme
q40.wav,q40,1592, Yellow submarine, The Beatles, submarine
q41.wav,q41,1719, You have got a friend, Carole King, ugotafrie
q42.wav,q42,1806, What the world needs now, Jackie DeShannon, whatthewo
q43.wav,q43,1832, Wish you were here, Pink Floyd, wishyouw
q44.wav,q44,1835, What a wonderful world, Louis Armstrong, wonderfulwo
q45.wav,q45,2045, Over the rainbow, Judy Garland, overrainbow
q46.wav,q46,2056, Sweet home Alabama, Lynyrd Skynyrd, sweethome
q47.wav,q47,1142, You make me feel like a natural woman, Aretha Franklin, naturalwom
q48.wav,q48,1411, Samba de uma nota so, Joao Gilberto, samba1nota
q49.wav,q49,1568, Stormy weather, Ethel Waters, stormywea
q50.wav,q50,1786, Wave, Antonio Carlos Jobim, wave
q51.wav,q51,2045, Over the rainbow, Judy Garland, overrainbow
q52.wav,q52,2146, Proud Mary, Creedence Clearwater Revival, proudmary
q53.wav,q53,14, Dos gardenias, Bobby Capo, 2gardeni
q54.wav,q54,1747, Vivir asi es morir de amor, Camilo Sesto, vivirasies
q55.wav,q55,2056, Sweet home Alabama, Lynyrd Skynyrd, sweethome
q56.wav,q56,281, Chica de ayer, Nacha pop, chicaayer
q57.wav,q57,941, Let it be, The Beatles, letitbe
q58.wav,q58,1237, One, U2, one
q59.wav,q59,1396, Roxanne, The Police, roxanne
q60.wav,q60,1510, Smoke on the water, Deep Purple, smokewtr
q61.wav,q61,1849, Yesterday, The Beatles, yesterday
q62.wav,q62,2015, White Christmas, Bing Crosby, whitechri
q63.wav,q63,391, Desafinado, Joao Gilberto, desafinado
q64.wav,q64,641, Happiness is a warm gun, The Beatles, happiness
q65.wav,q65,912, Lady Marmalade, The Eleventh Hour, ladymarm
q66.wav,q66,941, Let it be, The Beatles, letitbe
q67.wav,q67,965, With a little help from my friends, The Beatles, littlehelp
q68.wav,q68,98, Angie, The Rolling Stones, angie
q69.wav,q69,1168, New York New York, Liza Minelli, newyork
q70.wav,q70,1209, No woman no cry, Bob Marley, nowomanno
q71.wav,q71,1224, Ob la di ob la da, The Beatles, obladi
